tag,release_datetime
v1.0.0-beta,2024-10-24T10:15:32
v1.0.1-beta,2024-10-31T10:33:02
v1.0.2-beta,2024-11-07T14:16:07
v1.0.3-beta,2024-11-15T11:37:31
v1.0.4-beta,2024-11-22T09:48:41
v1.0.5-beta,2024-11-28T10:17:36
v1.0.6-beta,2024-12-05T11:11:06
v1.0.7-beta,2025-01-08T15:47:28
v1.0.8-beta,2025-01-16T09:07:13
v1.0.9-beta,2025-01-23T11:47:55
v1.0.10-beta,2025-02-07T10:05:10
v1.0.11-beta,2025-02-13T09:55:47
v1.0.12-beta,2025-02-26T13:19:00
v1.0.13-beta,2025-03-06T08:46:11
v1.0.14-beta,2025-03-13T09:05:14
v1.0.15-beta,2025-03-20T08:50:09
v1.0.16-beta,2025-03-27T11:35:19
v1.0.17-beta,2025-04-03T09:47:44
v1.0.18-beta,2025-04-14T11:21:52
v1.0.19-beta,2025-04-24T10:12:50
v1.0.20-beta,2025-05-01T07:34:11
v1.0.21-beta,2025-05-08T08:57:46
v1.0.22-beta,2025-05-15T15:22:06
v1.0.23-beta,2025-05-29T09:35:27
v1.0.24-beta,2025-06-09T11:14:22
v1.0.25-beta,2025-06-13T09:30:26
v1.0.26-beta,2025-07-07T12:50:16
v1.0.27-beta,2025-07-14T08:17:50
v1.0.28-beta,2025-07-17T08:33:40
v1.0.29-beta,2025-07-23T14:56:40
v1.0.30-beta,2025-07-31T09:57:52
v1.0.32-beta,2025-08-08T12:24:12
